         x      flux
   57.160592    0.403901
   57.226597    0.402595
   57.292603    0.401289
   57.358608    0.399980
   57.424613    0.398671
   57.490618    0.397359
   57.556624    0.396047
   57.622629    0.394733
   57.688634    0.393417
   57.754640    0.392100
   57.820645    0.390781
   57.886650    0.389461
   57.952656    0.388140
   58.018661    0.386816
   58.084666    0.385492
   58.150671    0.384166
   58.216677    0.382838
   58.282682    0.381509
   58.348687    0.380178
   58.414693    0.378846
   58.480698    0.377512
   58.546703    0.376177
   58.612709    0.374840
   58.678714    0.373502
   58.744719    0.372162
   58.810724    0.370820
   58.876730    0.369477
   58.942735    0.368133
   59.008740    0.366787
   59.074746    0.365439
   59.140751    0.364090
   59.206756    0.362739
   59.272762    0.361387
   59.338767    0.360033
   59.404772    0.358677
   59.470777    0.357320
   59.536783    0.355961
   59.602788    0.354601
   59.668793    0.353239
   59.734799    0.351876
   59.800804    0.350511
   59.866809    0.349144
   59.932815    0.347776
   59.998820    0.346406
   60.064825    0.345034
   60.130831    0.343661
   60.196836    0.342286
   60.262841    0.340910
   60.328846    0.339532
   60.394852    0.338152
   60.460857    0.336771
   60.526862    0.335388
   60.592868    0.334003
   60.658873    0.332617
   60.724878    0.331229
   60.790884    0.329840
   60.856889    0.328448
   60.922894    0.327055
   60.988899    0.325661
   61.054905    0.324264
   61.120910    0.322866
   61.186915    0.321467
   61.252921    0.320065
   61.318926    0.318662
   61.384931    0.317257
   61.450937    0.315851
   61.516942    0.314443
   61.582947    0.313033
   61.648952    0.311621
   61.714958    0.310208
   61.780963    0.308792
   61.846968    0.307376
   61.912974    0.305957
   61.978979    0.304536
   62.044984    0.303114
   62.110990    0.301690
   62.176995    0.300265
   62.243000    0.298837
   62.309005    0.297408
   62.375011    0.295977
   62.441016    0.294544
   62.507021    0.293109
   62.573027    0.291673
   62.639032    0.290234
   62.705037    0.288794
   62.771043    0.287352
   62.837048    0.285909
   62.903053    0.284463
   62.969059    0.283016
   63.035064    0.281566
   63.101069    0.280115
   63.167074    0.278662
   63.233080    0.277207
   63.299085    0.275750
   63.365090    0.274292
   63.431096    0.272831
   63.497101    0.271369
   63.563106    0.269905
   63.629112    0.268438
   63.695117    0.266970
   63.761122    0.265500
   63.827127    0.264028
   63.893133    0.262554
   63.959138    0.261078
   64.025143    0.259601
   64.091149    0.258121
   64.157154    0.256639
   64.223159    0.255155
   64.289165    0.253670
   64.355170    0.252182
   64.421175    0.250692
   64.487180    0.249201
   64.553186    0.247707
   64.619191    0.246211
   64.685196    0.244714
   64.751202    0.243214
   64.817207    0.241712
   64.883212    0.240208
   64.949218    0.238702
   65.015223    0.237194
   65.081228    0.235684
   65.147233    0.234172
   65.213239    0.232658
   65.279244    0.231142
   65.345249    0.229624
   65.411255    0.228103
   65.477260    0.226581
   65.543265    0.225056
   65.609271    0.223529
   65.675276    0.222000
   65.741281    0.220469
   65.807287    0.218935
   65.873292    0.217400
   65.939297    0.215862
